Time,People Count
15:55:50,0
15:55:50,0
15:55:50,0
15:55:50,0
15:55:51,0
15:55:51,0
15:55:51,0
15:55:51,0
15:55:51,0
15:55:52,0
15:55:52,0
15:55:52,0
15:55:52,0
15:55:52,0
15:55:52,0
15:55:53,0
15:55:53,0
15:55:53,0
15:55:53,0
15:55:53,0
15:55:53,0
15:55:54,0
15:55:54,0
15:55:59,19
15:55:59,19
15:55:59,20
15:55:59,19
15:56:00,19
15:56:00,19
15:56:00,20
15:56:00,19
15:56:00,19
15:56:01,19
15:56:01,19
15:56:01,19
15:56:01,19
15:56:01,20
15:56:02,20
15:56:02,20
15:56:02,19
15:56:02,19
15:56:02,19
15:56:03,20
15:56:03,20
15:56:03,20
15:56:03,20
15:56:03,20
15:56:03,20
15:56:03,20
15:56:04,20
15:56:04,20
15:56:04,20
15:56:04,20
15:56:04,20
15:56:04,20
15:56:05,18
15:56:05,19
15:56:05,19
15:56:05,18
15:56:05,19
15:56:05,19
15:56:06,18
15:56:06,17
15:56:06,18
15:56:06,18
15:56:06,18
15:56:06,20
15:56:07,20
15:56:07,19
15:56:07,19
15:56:07,19
15:56:07,19
15:56:07,19
15:56:07,19
15:56:08,20
15:56:08,19
15:56:08,20
15:56:08,20
15:56:08,20
15:56:08,19
15:56:09,20
15:56:09,20
15:56:09,20
15:56:09,20
15:56:09,20
15:56:09,20
15:56:10,19
15:56:10,21
15:56:10,21
15:56:10,20
15:56:10,20
15:56:10,21
15:56:10,20
15:56:11,20
15:56:11,20
15:56:11,20
15:56:11,23
15:56:11,21
15:56:11,22
15:56:12,23
15:56:12,21
15:56:12,21
15:56:12,21
15:56:12,20
15:56:12,21
15:56:12,22
15:56:13,22
15:56:13,21
15:56:13,21
15:56:13,21
15:56:13,22
15:56:13,22
15:56:14,22
15:56:14,22
15:56:14,22
15:56:14,22
15:56:14,22
15:56:14,20
15:56:14,20
15:56:15,21
15:56:15,20
15:56:15,21
15:56:15,21
15:56:15,21
15:56:15,22
15:56:16,22
15:56:16,22
15:56:16,23
15:56:16,23
15:56:16,24
15:56:16,24
15:56:17,23
15:56:17,23
15:56:17,23
15:56:17,24
15:56:18,24
15:56:18,23
15:56:18,24
15:56:18,25
15:56:18,25
15:56:18,25
15:56:18,25
15:56:19,24
15:56:19,24
15:56:19,24
15:56:19,24
